Date,Open,High,Low,Close,Adj Close,Volume
2000-08-21,31.950001,32.799999,31.320000,32.049999,32.049999,196964
2000-08-28,32.040001,33.700001,31.860001,33.380001,33.380001,277879
2000-09-04,33.950001,35.500000,33.400002,33.700001,33.700001,292934
2000-09-11,33.799999,36.099998,33.119999,35.849998,35.849998,471966
2000-09-18,36.200001,37.799999,32.500000,32.650002,32.650002,437408
2000-09-25,31.400000,32.419998,30.150000,30.860001,30.860001,393711
2000-10-02,31.450001,32.349998,30.170000,30.850000,30.850000,310131
2000-10-09,31.549999,37.000000,31.230000,35.049999,35.049999,325381
2000-10-16,34.400002,34.799999,32.400002,34.299999,34.299999,322214
2000-10-23,33.000000,34.099998,32.599998,32.700001,32.700001,314820
2000-10-30,32.750000,33.750000,32.099998,32.599998,32.599998,310272
2000-11-06,32.400002,34.150002,32.099998,34.090000,34.090000,311887
2000-11-13,34.150002,35.849998,33.919998,35.599998,35.599998,357547
2000-11-20,35.500000,35.849998,34.669998,35.400002,35.400002,114018
2000-11-27,35.250000,35.759998,31.799999,32.049999,32.049999,378860
2000-12-04,32.380001,33.110001,27.850000,28.500000,28.500000,412024
2000-12-11,29.000000,30.000000,27.510000,28.850000,28.850000,332951
2000-12-18,29.549999,29.900000,25.500000,26.180000,26.180000,275041
2000-12-25,26.200001,27.020000,25.750000,26.799999,26.799999,128420
2001-01-01,27.250000,28.799999,26.600000,28.000000,28.000000,257184
2001-01-08,28.200001,30.200001,26.900000,30.049999,30.049999,353371
2001-01-15,30.100000,32.400002,29.000000,32.099998,32.099998,229617
2001-01-22,31.950001,32.700001,28.639999,29.780001,29.780001,372589
2001-01-29,30.150000,31.299999,28.250000,31.250000,31.250000,361646
2001-02-05,31.049999,31.879999,30.000000,31.049999,31.049999,334662
2001-02-12,30.700001,31.049999,28.549999,29.160000,29.160000,317409
2001-02-19,29.500000,29.530001,28.299999,29.000000,29.000000,275272
2001-02-26,28.760000,28.940001,27.150000,27.840000,27.840000,364684
2001-03-05,28.250000,29.150000,27.799999,27.799999,27.799999,325325
2001-03-12,27.799999,28.240000,26.100000,26.700001,26.700001,262625
2001-03-19,26.500000,27.450001,25.700001,27.299999,27.299999,364773
2001-03-26,27.400000,28.040001,25.750000,26.400000,26.400000,384502
2001-04-02,26.350000,27.780001,25.490000,27.059999,27.059999,333838
2001-04-09,27.129999,28.840000,27.010000,28.250000,28.250000,268996
2001-04-16,28.299999,29.040001,26.799999,27.280001,27.280001,311261
2001-04-23,27.850000,28.650000,26.750000,28.270000,28.270000,337162
2001-04-30,28.600000,28.990000,27.370001,28.360001,28.360001,285398
2001-05-07,28.450001,28.850000,27.049999,28.549999,28.549999,312551
2001-05-14,28.700001,29.990000,28.080000,29.910000,29.910000,259300
2001-05-21,30.150000,30.200001,28.100000,28.379999,28.379999,166867
2001-05-28,28.700001,29.049999,27.549999,27.930000,27.930000,300728
2001-06-04,28.549999,28.740000,27.250000,28.400000,28.400000,342795
2001-06-11,28.750000,29.629999,28.400000,28.510000,28.510000,348141
2001-06-18,28.299999,28.540001,25.850000,26.830000,26.830000,407322
2001-06-25,26.950001,27.490000,25.100000,26.250000,26.250000,406525
2001-07-02,26.450001,28.290001,25.379999,28.209999,28.209999,229488
2001-07-09,27.850000,28.260000,25.940001,26.590000,26.590000,389402
2001-07-16,26.299999,26.580000,24.540001,25.590000,25.590000,363188
2001-07-23,26.299999,27.150000,25.870001,27.020000,27.020000,324567
2001-07-30,26.950001,27.900000,26.309999,27.620001,27.620001,302332
2001-08-06,27.600000,28.420000,27.379999,28.049999,28.049999,291925
2001-08-13,28.170000,28.250000,26.549999,26.629999,26.629999,314004
2001-08-20,26.650000,28.100000,26.280001,26.900000,26.900000,386161
2001-08-27,27.049999,27.600000,26.440001,27.200001,27.200001,263541
2001-09-03,27.049999,28.150000,26.760000,28.030001,28.030001,302462
2001-09-10,27.750000,29.980000,27.570000,29.530001,29.530001,0
2001-09-17,27.000000,29.250000,25.799999,25.969999,25.969999,303401
2001-09-24,23.900000,24.000000,20.299999,23.430000,23.430000,320215
2001-10-01,22.799999,23.400000,21.719999,22.389999,22.389999,267817
2001-10-08,22.299999,23.980000,21.950001,22.500000,22.500000,303203
2001-10-15,22.600000,22.690001,21.049999,21.830000,21.830000,270520
2001-10-22,21.799999,22.600000,21.410000,22.049999,22.049999,324883
2001-10-29,22.500000,22.549999,19.690001,20.180000,20.180000,306972
2001-11-05,20.340000,22.400000,19.559999,22.219999,22.219999,361435
2001-11-12,21.450001,21.969999,17.150000,18.030001,18.030001,455945
2001-11-19,17.150000,19.450001,16.700001,18.959999,18.959999,233359
2001-11-26,18.799999,19.799999,17.670000,19.440001,19.440001,366999
2001-12-03,19.400000,20.500000,17.920000,19.040001,19.040001,383862
2001-12-10,18.680000,19.250000,17.799999,19.290001,19.290001,359116
2001-12-17,19.200001,20.180000,19.070000,19.620001,19.620001,319641
2001-12-24,19.799999,21.430000,19.700001,20.410000,20.410000,169232
2001-12-31,20.299999,21.700001,19.660000,21.620001,21.620001,254805
2002-01-07,21.500000,22.000000,19.370001,19.680000,19.680000,357623
2002-01-14,19.350000,19.480000,17.799999,18.000000,18.000000,358883
2002-01-21,18.049999,20.170000,18.000000,20.000000,20.000000,336580
2002-01-28,20.059999,20.549999,18.559999,20.400000,20.400000,432850
2002-02-04,20.340000,20.360001,19.270000,20.250000,20.250000,342411
2002-02-11,20.270000,21.750000,19.959999,21.500000,21.500000,398757
2002-02-18,21.219999,21.299999,20.150000,21.080000,21.080000,287854
2002-02-25,21.000000,22.799999,20.370001,22.360001,22.360001,470170
2002-03-04,22.430000,24.750000,22.129999,23.850000,23.850000,460980
2002-03-11,23.870001,24.750000,23.650000,24.480000,24.480000,391635
2002-03-18,24.400000,25.850000,24.110001,25.260000,25.260000,370178
2002-03-25,25.350000,26.379999,24.700001,26.230000,26.230000,296142
2002-04-01,26.459999,28.350000,25.049999,26.219999,26.219999,493035
2002-04-08,26.400000,27.230000,23.309999,23.450001,23.450001,453156
2002-04-15,24.250000,26.650000,23.600000,26.400000,26.400000,330448
2002-04-22,26.400000,27.200001,25.780001,27.150000,27.150000,405441
2002-04-29,26.920000,27.639999,25.549999,26.719999,26.719999,441463
2002-05-06,26.309999,28.270000,25.620001,27.879999,27.879999,480649
2002-05-13,27.750000,29.540001,27.100000,28.200001,28.200001,411552
